Airline,from / to,europe,north america,Hawaii,Central America & Caribbean,South America,Notrth Africa,Middle East / Caucasus /Central Africa,Southern Africa,India,South East Asia,Central Asia / For East,Australia / New Zealand / Oceania,ticket_type
dl,europe,300000,60000,100000,70000,80000,40000,40000,60000,60000,80000,80000,100000,Economy
dl,north america,60000,30000,40000,35000,60000,80000,80000,100000,100000,80000,80000,80000,Economy
dl,Hawaii,100000,40000,X,60000,80000,100000,100000,100000,100000,60000,40000,40000,Economy
dl,Central America & Caribbean,70000,35000,60000,30000,35000,100000,100000,100000,100000,100000,100000,100000,Economy
dl,South America,80000,60000,80000,35000,30000,100000,100000,60000,100000,100000,100000,80000,Economy
dl,Middle East / Caucasus / Notrth/Central Africa,40000,80000,100000,100000,100000,30000,30000,40000,30000,60000,80000,100000,Economy
dl,Southern Africa,60000,100000,100000,100000,60000,40000,40000,30000,60000,80000,100000,100000,Economy
dl,India,60000,100000,100000,100000,100000,30000,30000,60000,X,40000,40000,40000,Economy
dl,South East Asia,80000,80000,60000,100000,100000,60000,60000,60000,40000,30000,40000,60000,Economy
dl,Central Asia / For East,80000,80000,40000,100000,100000,80000,80000,100000,40000,40000,30000,60000,Economy
dl,Australia / New Zealand / Oceania,100000,80000,40000,100000,80000,100000,100000,100000,40000,60000,60000,30000,Economy
dl,europe,45000,105000,185000,120000,135000,70000,70000,105000,105000,135000,135000,185000,Buisness
dl,north america,105000,30000,70000,60000,105000,135000,135000,185000,185000,135000,135000,135000,Buisness
dl,Hawaii,185000,70000,x,105000,135000,185000,185000,185000,185000,105000,70000,70000,Buisness
dl,Central America & Caribbean,120000,60000,105000,55000,60000,165000,165000,165000,185000,185000,185000,135000,Buisness
dl,South America,135000,105000,135000,60000,55000,185000,185000,105000,185000,185000,185000,135000,Buisness
dl,Middle East / Caucasus / Notrth/Central Africa,70000,135000,185000,165000,185000,55000,55000,70000,55000,105000,135000,185000,Buisness
dl,Southern Africa,1105000,185000,185000,165000,105000,70000,70000,55000,105000,135000,185000,185000,Buisness
dl,India,105000,185000,185000,185000,185000,55000,55000,105000,X,70000,70000,135000,Buisness
dl,South East Asia,135000,135000,105000,185000,185000,105000,105000,135000,70000,55000,70000,105000,Buisness
dl,Central Asia / For East,135000,135000,70000,185000,185000,135000,135000,185000,7000,7000,55000,105000,Buisness
dl,Australia / New Zealand / Oceania,185000,135000,70000,135000,135000,185000,185000,185000,135000,105000,105000,55000,Buisness
dl,europe,X,170000,290000,190000,210000,125000,125000,170000,170000,210000,210000,290000,First_class
dl,north america,170000,75000,125000,85000,170000,210000,210000,290000,290000,210000,210000,210000,First_class
dl,Hawaii,290000,125000,X,170000,210000,290000,290000,290000,290000,170000,125000,125000,First_class
dl,Central America & Caribbean,190000,85000,170000,75000,85000,230000,230000,230000,290000,290000,290000,210000,First_class
dl,South America,210000,170000,210000,85000,75000,290000,290000,170000,290000,290000,290000,210000,First_class
dl,Middle East / Caucasus / Notrth/Central Africa,125000,210000,290000,230000,290000,75000,75000,125000,75000,170000,210000,290000,First_class
dl,Southern Africa,170000,290000,290000,230000,170000,125000,125000,75000,170000,210000,290000,290000,First_class
dl,India,170000,290000,290000,290000,290000,75000,75000,170000,X,125000,125000,210000,First_class
dl,South East Asia,210000,210000,170000,290000,290000,170000,170000,210000,125000,75000,125000,170000,First_class
dl,Central Asia / For East,210000,210000,125000,290000,290000,210000,210000,290000,125000,125000,75000,170000,First_class
dl,Australia / New Zealand / Oceania,290000,210000,125000,210000,210000,290000,290000,290000,210000,170000,170000,75000,First_class
tk,europe,30000,60000,100000,70000,80000,40000,40000,60000,60000,80000,80000,100000,Economy
tk,north america,60000,30000,40000,35000,60000,80000,80000,100000,100000,80000,80000,80000,Economy
tk,Hawaii,100000,40000,X,60000,80000,100000,100000,100000,100000,60000,40000,40000,Economy
tk,Central America & Caribbean,70000,35000,60000,30000,35000,100000,100000,100000,100000,100000,100000,100000,Economy
tk,South America,80000,60000,80000,35000,30000,100000,100000,60000,100000,100000,100000,80000,Economy
tk,Middle East / Caucasus / Notrth/Central Africa,40000,80000,100000,100000,100000,30000,30000,40000,30000,60000,80000,100000,Economy
tk,Southern Africa,60000,100000,100000,100000,60000,40000,40000,30000,60000,80000,100000,100000,Economy
tk,India,60000,100000,100000,100000,100000,30000,30000,60000,X,40000,40000,40000,Economy
tk,South East Asia,80000,80000,60000,100000,100000,60000,60000,60000,40000,30000,40000,60000,Economy
tk,Central Asia / For East,80000,80000,40000,100000,100000,80000,80000,100000,40000,40000,30000,60000,Economy
tk,Australia / New Zealand / Oceania,100000,80000,40000,100000,80000,100000,100000,100000,40000,60000,60000,30000,Economy
tk,europe,45000,105000,185000,120000,135000,70000,70000,105000,105000,135000,135000,185000,Buisness
tk,north america,105000,30000,70000,60000,105000,135000,135000,185000,185000,135000,135000,135000,Buisness
tk,Hawaii,185000,70000,x,105000,135000,185000,185000,185000,185000,105000,70000,70000,Buisness
tk,Central America & Caribbean,120000,60000,105000,55000,60000,165000,165000,165000,185000,185000,185000,135000,Buisness
tk,South America,135000,105000,135000,60000,55000,185000,185000,105000,185000,185000,185000,135000,Buisness
tk,Middle East / Caucasus / Notrth/Central Africa,70000,135000,185000,165000,185000,55000,55000,70000,55000,105000,135000,185000,Buisness
tk,Southern Africa,1105000,185000,185000,165000,105000,70000,70000,55000,105000,135000,185000,185000,Buisness
tk,India,105000,185000,185000,185000,185000,55000,55000,105000,X,70000,70000,135000,Buisness
tk,South East Asia,135000,135000,105000,185000,185000,105000,105000,135000,70000,55000,70000,105000,Buisness
tk,Central Asia / For East,135000,135000,70000,185000,185000,135000,135000,185000,7000,7000,55000,105000,Buisness
tk,Australia / New Zealand / Oceania,185000,135000,70000,135000,135000,185000,185000,185000,135000,105000,105000,55000,Buisness
tk,europe,X,170000,290000,190000,210000,125000,125000,170000,170000,210000,210000,290000,First_class
tk,north america,170000,75000,125000,85000,170000,210000,210000,290000,290000,210000,210000,210000,First_class
tk,Hawaii,290000,125000,X,170000,210000,290000,290000,290000,290000,170000,125000,125000,First_class
tk,Central America & Caribbean,190000,85000,170000,75000,85000,230000,230000,230000,290000,290000,290000,210000,First_class
tk,South America,210000,170000,210000,85000,75000,290000,290000,170000,290000,290000,290000,210000,First_class
tk,Middle East / Caucasus / Notrth/Central Africa,125000,210000,290000,230000,290000,75000,75000,125000,75000,170000,210000,290000,First_class
tk,Southern Africa,170000,290000,290000,230000,170000,125000,125000,75000,170000,210000,290000,290000,First_class
tk,India,170000,290000,290000,290000,290000,75000,75000,170000,X,125000,125000,210000,First_class
tk,South East Asia,210000,210000,170000,290000,290000,170000,170000,210000,125000,75000,125000,170000,First_class
tk,Central Asia / For East,210000,210000,125000,290000,290000,210000,210000,290000,125000,125000,75000,170000,First_class
tk,Australia / New Zealand / Oceania,290000,210000,125000,210000,210000,290000,290000,290000,210000,170000,170000,75000,First_class
su,europe,30000,60000,100000,70000,80000,40000,40000,60000,60000,80000,80000,100000,Economy
su,north america,60000,30000,40000,35000,60000,80000,80000,100000,100000,80000,80000,80000,Economy
su,Hawaii,100000,40000,X,60000,80000,100000,100000,100000,100000,60000,40000,40000,Economy
su,Central America & Caribbean,70000,35000,60000,30000,35000,100000,100000,100000,100000,100000,100000,100000,Economy
su,South America,80000,60000,80000,35000,30000,100000,100000,60000,100000,100000,100000,80000,Economy
su,Middle East / Caucasus / Notrth/Central Africa,40000,80000,100000,100000,100000,30000,30000,40000,30000,60000,80000,100000,Economy
su,Southern Africa,60000,100000,100000,100000,60000,40000,40000,30000,60000,80000,100000,100000,Economy
su,India,60000,100000,100000,100000,100000,30000,30000,60000,X,40000,40000,40000,Economy
su,South East Asia,80000,80000,60000,100000,100000,60000,60000,60000,40000,30000,40000,60000,Economy
su,Central Asia / For East,80000,80000,40000,100000,100000,80000,80000,100000,40000,40000,30000,60000,Economy
su,Australia / New Zealand / Oceania,100000,80000,40000,100000,80000,100000,100000,100000,40000,60000,60000,30000,Economy
su,europe,45000,105000,185000,120000,135000,70000,70000,105000,105000,135000,135000,185000,Buisness
su,north america,105000,30000,70000,60000,105000,135000,135000,185000,185000,135000,135000,135000,Buisness
su,Hawaii,185000,70000,x,105000,135000,185000,185000,185000,185000,105000,70000,70000,Buisness
su,Central America & Caribbean,120000,60000,105000,55000,60000,165000,165000,165000,185000,185000,185000,135000,Buisness
su,South America,135000,105000,135000,60000,55000,185000,185000,105000,185000,185000,185000,135000,Buisness
su,Middle East / Caucasus / Notrth/Central Africa,70000,135000,185000,165000,185000,55000,55000,70000,55000,105000,135000,185000,Buisness
su,Southern Africa,1105000,185000,185000,165000,105000,70000,70000,55000,105000,135000,185000,185000,Buisness
su,India,105000,185000,185000,185000,185000,55000,55000,105000,X,70000,70000,135000,Buisness
su,South East Asia,135000,135000,105000,185000,185000,105000,105000,135000,70000,55000,70000,105000,Buisness
su,Central Asia / For East,135000,135000,70000,185000,185000,135000,135000,185000,7000,7000,55000,105000,Buisness
su,Australia / New Zealand / Oceania,185000,135000,70000,135000,135000,185000,185000,185000,135000,105000,105000,55000,Buisness
su,europe,X,170000,290000,190000,210000,125000,125000,170000,170000,210000,210000,290000,First_class
su,north america,170000,75000,125000,85000,170000,210000,210000,290000,290000,210000,210000,210000,First_class
su,Hawaii,290000,125000,X,170000,210000,290000,290000,290000,290000,170000,125000,125000,First_class
su,Central America & Caribbean,190000,85000,170000,75000,85000,230000,230000,230000,290000,290000,290000,210000,First_class
su,South America,210000,170000,210000,85000,75000,290000,290000,170000,290000,290000,290000,210000,First_class
su,Middle East / Caucasus / Notrth/Central Africa,125000,210000,290000,230000,290000,75000,75000,125000,75000,170000,210000,290000,First_class
su,Southern Africa,170000,290000,290000,230000,170000,125000,125000,75000,170000,210000,290000,290000,First_class
su,India,170000,290000,290000,290000,290000,75000,75000,170000,X,125000,125000,210000,First_class
su,South East Asia,210000,210000,170000,290000,290000,170000,170000,210000,125000,75000,125000,170000,First_class
su,Central Asia / For East,210000,210000,125000,290000,290000,210000,210000,290000,125000,125000,75000,170000,First_class
su,Australia / New Zealand / Oceania,290000,210000,125000,210000,210000,290000,290000,290000,210000,170000,170000,75000,First_class
ly,europe,30000,60000,100000,70000,80000,40000,40000,60000,60000,80000,80000,100000,Economy
ly,north america,60000,30000,40000,35000,60000,80000,80000,100000,100000,80000,80000,80000,Economy
ly,Hawaii,100000,40000,X,60000,80000,100000,100000,100000,100000,60000,40000,40000,Economy
ly,Central America & Caribbean,70000,35000,60000,30000,35000,100000,100000,100000,100000,100000,100000,100000,Economy
ly,South America,80000,60000,80000,35000,30000,100000,100000,60000,100000,100000,100000,80000,Economy
ly,Middle East / Caucasus / Notrth/Central Africa,40000,80000,100000,100000,100000,30000,30000,40000,30000,60000,80000,100000,Economy
ly,Southern Africa,60000,100000,100000,100000,60000,40000,40000,30000,60000,80000,100000,100000,Economy
ly,India,60000,100000,100000,100000,100000,30000,30000,60000,X,40000,40000,40000,Economy
ly,South East Asia,80000,80000,60000,100000,100000,60000,60000,60000,40000,30000,40000,60000,Economy
ly,Central Asia / For East,80000,80000,40000,100000,100000,80000,80000,100000,40000,40000,30000,60000,Economy
ly,Australia / New Zealand / Oceania,100000,80000,40000,100000,80000,100000,100000,100000,40000,60000,60000,30000,Economy
ly,europe,45000,105000,185000,120000,135000,70000,70000,105000,105000,135000,135000,185000,Buisness
ly,north america,105000,30000,70000,60000,105000,135000,135000,185000,185000,135000,135000,135000,Buisness
ly,Hawaii,185000,70000,x,105000,135000,185000,185000,185000,185000,105000,70000,70000,Buisness
